# 市区町村名,府県予報区コード
# 気象庁 https://www.jma.go.jp/bosai/common/const/area.json の class20s から生成
# 再生成の手順は DESIGN.md の該当節を参照
蔵王町,040000
蕨市,110000
薩摩川内市,460100
薩摩川内市甑島,460100
藍住町,360000
藤井寺市,270000
藤岡市,100000
藤崎町,020000
藤枝市,220000
藤沢市,140000
藤里町,050000
蘭越町,016000
蟹江町,230000
行方市,080000
行橋市,400000
行田市,110000
袋井市,220000
袖ケ浦市,120000
裾野市,220000
西ノ島町,320000
西之表市,460100
西予市,380000
西伊豆町,220000
西会津町,070000
西原村,430000
西原町,471000
西和賀町,030000
西宮市,280000
西尾市,230000
西川町,060000
西条市,380000
西東京市,130000
西桂町,190000
西海市（江島・平島を除く）,420000
西海市（江島・平島）,420000
西目屋村,020000
西米良村,450000
西粟倉村,330000
西脇市,280000
西興部村,013000
西郷村,070000
西都市,450000
見附市,150000
観音寺市,370000
角田市,040000
訓子府町,013000
設楽町,230000
読谷村,471000
調布市,130000
諏訪市,200000
諫早市,420000
諸塚村,450000
豊丘村,200000
豊中市,270000
豊前市,400000
豊富町,011000
豊山町,230000
豊岡市,280000
豊島区,130000
豊川市,230000
豊後大野市,440000
豊後高田市,440000
豊明市,230000
豊根村,230000
豊橋市,230000
豊浦町,015000
豊田市東部,230000
豊田市西部,230000
豊能町,270000
豊見城市,471000
豊郷町,250000
豊頃町,014030
貝塚市,270000
赤井川村,016000
赤平市,016000
赤村,400000
赤磐市,330000
赤穂市,280000
越前市,180000
越前町,180000
越生町,110000
越知町,390000
越谷市,110000
足利市,090000
足寄町,014030
足立区,130000
身延町,190000
軽井沢町,200000
軽米町,030000
輪之内町,210000
輪島市,170000
辰野町,200000
近江八幡市,250000
逗子市,140000
遊佐町,060000
道志村,190000
遠別町,012000
遠賀町,400000
遠軽町,013000
遠野市,030000
邑南町,320000
邑楽町,100000
那智勝浦町,300000
那珂川市,400000
那珂川町,090000
那珂市,080000
那覇市,471000
那賀町,360000
那須塩原市,090000
那須烏山市,090000
那須町,090000
郡上市,210000
郡山市,070000
郡山市湖南,070000
都城市,450000
都留市,190000
都農町,450000
酒々井町,120000
酒田市,060000
里庄町,330000
野々市市,170000
野木町,090000
野沢温泉村,200000
野洲市,250000
野田市,120000
野田村,030000
野辺地町,020000
野迫川村,290000
金ケ崎町,030000
金山町,060000
金山町,070000
金武町,471000
金沢市,170000
釜石市,030000
釧路市釧路,014100
釧路市阿寒,014100
釧路市音別,014100
釧路町,014100
鈴鹿市,240000
鉾田市,080000
銚子市,120000
鋸南町,120000
錦江町,460100
錦町,430000
鎌ケ谷市,120000
鎌倉市,140000
鏡石町,070000
鏡野町,330000
長万部町,017000
長与町,420000
長久手市,230000
長井市,060000
長南町,120000
長和町,200000
長岡京市,260000
長岡市,150000
長島町,460100
長崎市,420000
長柄町,120000
長沼町,016000
長泉町,220000
